id,first_name,last_name,gender,race,university,country
211,Branden,Bernli,Male,Chilean,Universitas Jayabaya,Indonesia
212,Moll,Corris,Female,Nicaraguan,Tiffin University Prague,Czech Republic
213,Gannon,Wharram,Male,Cambodian,University of Haifa,Israel
214,Marmaduke,Heckner,Male,South American,Zhengzhou University of Technology,China
215,Bailie,Redish,Male,Sri Lankan,Universidad Nacional de Quilmes,Argentina
216,Vere,Benedikt,Female,Yakama,Sevastopol National Technical University,Ukraine
217,Ursula,Rowaszkiewicz,Female,Sri Lankan,Ecole Nationale Supérieure des Mines de Douai,France
218,Marguerite,Lefley,Female,Chinese,University of Ioannina,Greece
219,Drusi,Dibbs,Female,Tongan,Nagoya Women's University,Japan
220,Olimpia,Joffe,Female,Colombian,Krirk University,Thailand
221,Fawn,Pinkard,Female,Puerto Rican,China Medical University Shenyang,China
222,Ainslie,Bunner,Female,South American,University of the Philippines Mindanao,Philippines
223,Pearline,Gaskall,Female,Pueblo,Tibet Tibetan Medical College,China
224,Peterus,de Clercq,Male,Navajo,Ecole Normale Supérieure de Lyon,France
225,Care,Gobourn,Male,American Indian and Alaska Native (AIAN),Universitas Muhammadiyah Jember,Indonesia
226,Eliot,Macveigh,Male,Shoshone,East China Normal University,China
227,Goober,Bletsor,Male,Osage,Modern Acadmy,Egypt
228,Viki,Hinemoor,Female,Sri Lankan,Universidad Privada Juan Mejía Baca,Peru
229,Gauthier,Bier,Male,Eskimo,Liaoning Technical University,China
230,Yves,Methuen,Male,Sri Lankan,University of the West Indies St. Augustine,Trinidad and Tobago
231,Gerry,Ambrogi,Female,Polynesian,Ecole Nationale Supérieure d'Ingenieurs Electriciens de Grenoble,France
232,Pinchas,Pollett,Male,Peruvian,Singidunum University,Serbia
233,Fara,Adrain,Female,Delaware,Yan Shan University,China
234,Dahlia,Dundon,Female,Taiwanese,Gnesins Russian Academy of Music,Russia
235,Nalani,Martensen,Female,Alaska Native,West China University of Medical Sciences,China
236,Tommie,Etienne,Female,Eskimo,West Minster International College,Micronesia
237,Brigid,Writer,Agender,Venezuelan,Beijing Foreign Studies University,China
238,Gibb,MacKey,Male,Seminole,Anhui University of Finance and Economics,China
239,Martica,Kirk,Female,Alaskan Athabascan,Jönköping University College,Sweden
240,Tessy,Stilliard,Female,Native Hawaiian and Other Pacific Islander (NHPI),STMIK Sinar Nusantara,Indonesia
241,Natty,Bulman,Male,Salvadoran,Universidade do Estado do Rio de Janeiro,Brazil
242,Brendin,Van Castele,Non-binary,Thai,National University,Philippines
243,Reed,Maplethorpe,Male,Chippewa,Assumption University of Thailand,Thailand
244,Midge,Coste,Female,Crow,Universidad Americana,Paraguay
245,Lindy,Blundin,Male,Tohono O'Odham,Nayanova University,Russia
246,Mimi,Keppy,Female,Lumbee,Centro Universitário Newton Paiva,Brazil
247,Jordan,Staresmeare,Male,Malaysian,Academia Nacional Superior de Orquesta,Portugal
248,Leoline,Jerdon,Female,Native Hawaiian,Petrozavodsk State University,Russia
249,Lily,Sallowaye,Female,Micronesian,Ecole des Hautes Etudes Commerciales du Nord,France
250,Giraud,Hillhouse,Male,Peruvian,University of the Philippines Los Banos,Philippines
251,Raychel,Twitty,Female,Pakistani,Philippine Christian University,Philippines
252,Quent,Unstead,Male,Indonesian,Istanbul Technical University,Turkey
253,Irita,Po,Female,Lumbee,Universitas Muhammadiyah Makassar,Indonesia
254,Arleyne,Tailby,Female,Alaska Native,Universidad Católica del Oriente,Colombia
255,Lance,Scandwright,Non-binary,Bangladeshi,Northern Jiaotong University,China
256,Wyndham,Albrighton,Male,Puget Sound Salish,Karunya Institute Of Technology ( Deemed University),Western Sahara
257,Pepe,Willoway,Male,Hmong,Dnepropetrovsk National University,Ukraine
258,Trisha,Dinsell,Female,Seminole,Nivadhana University,Thailand
259,Niven,Skerme,Male,Cree,University of Otago,New Zealand
260,Winthrop,Pembery,Male,Bolivian,Chongqing Technology and Business University,China
261,Elianora,Batchelar,Female,Aleut,Université du Québec à Montréal,Canada
262,Renae,Pembridge,Female,Micronesian,Bicol University,Philippines
263,Brittney,Puve,Female,Seminole,Stamford International University,Thailand
264,Candy,Aarons,Female,Chinese,Yan'an University,China
265,Sebastian,Grainge,Male,Colville,Ryazan State Pedagogical University,Russia
266,Cynthie,Naish,Female,Taiwanese,Fudan University,China
267,Joelly,Donan,Female,Mexican,Institute of Management and Economy,Russia
268,Vanni,Himpson,Female,Puerto Rican,Universidade Estadual de Santa Cruz,Brazil
269,Shandra,Pierro,Female,Pueblo,Riga Teacher Training and Educational Management Academy,Latvia
270,Brita,Madsen,Female,Fijian,Tajik Agrarian University,Tajikistan
271,Giacomo,Waite,Male,Central American,Vologda State Pedagogical University,Russia
272,Taylor,Kemwall,Male,Cambodian,Nanjing Agricultural University,China
273,Wright,Cartmail,Male,Colombian,Shinawatra University,Thailand
274,Darin,Senchenko,Male,Bolivian,Northeastern State University,United States
275,Marten,Strang,Bigender,Melanesian,Technical University of Opole,Poland
276,Morna,Venediktov,Female,Alaskan Athabascan,Dhaka University of Engineering and Technology,Bangladesh
277,Jonell,Mayler,Genderfluid,Guatemalan,Universidade dos Acores,Portugal
278,Salli,Lanahan,Female,Bolivian,Academy of Economics in Wroclaw,Poland
279,Laetitia,McGeever,Female,Central American,Politeknik Negeri Pontianak,Indonesia
280,Dael,Francke,Male,Houma,Institut Sains & Teknologi Akprind,Indonesia
281,Welby,McQuarter,Male,Fijian,Universitas Ibn Chaldun Jakarta,Indonesia
282,Patsy,Aronov,Female,Cambodian,Yemenia University,Yemen
283,Jakob,Puddephatt,Male,Panamanian,National Technical University (Kharkiv Polytechnical Institute),Ukraine
284,Garey,Bradforth,Male,South American,Northern Sichuan Medical College,China
285,Michael,Sunman,Male,Mexican,Universidad Privada del Norte,Peru
286,Geoffrey,Phelps,Male,Japanese,Rangsit University,Thailand
287,Andy,Hubbard,Female,Creek,Nanjing Medical University,China
288,Genna,Phippard,Female,Colville,Omsk State Medicical Academy,Russia
289,Daniel,Syer,Genderqueer,Menominee,New Economic School,Russia
290,Jeniece,Shakle,Female,Pueblo,Universidade Bandeirante de São Paulo,Brazil
291,Stoddard,Harniman,Female,Malaysian,Université de Lomé,Togo
292,Elfie,MacKnocker,Female,Iroquois,Mälardalen University,Sweden
293,Giles,Lobbe,Male,Venezuelan,International Medical & Technological University,Tanzania
294,Nessie,Searjeant,Female,Eskimo,Southwest Forestry University,China
295,Calv,Vasilyonok,Male,Puerto Rican,Universitas Kristen Indonesia Tomohon,Indonesia
296,Arlin,Nowakowski,Male,Venezuelan,University College of Trollhättan/Uddevalla,Sweden
297,Arlette,Newlove,Female,Paraguayan,Manuel S. Enverga University Foundation,Philippines
298,Dael,Wratten,Male,Tohono O'Odham,Universidad del Noroeste,Mexico
299,Mara,Angell,Female,Choctaw,Xavier University,Philippines
300,Gay,Bohlmann,Male,Native Hawaiian and Other Pacific Islander (NHPI),American University of Middle East,Svalbard and Jan Mayen
301,Nero,Dietsche,Male,Black or African American,Our Lady of Fatima University,Philippines
302,Vin,Szanto,Male,Bangladeshi,Universitas 17 Agustus 1945 Semarang,Indonesia
303,Ealasaid,Castenda,Female,Central American,Universidad Popular Autonóma del Estado de Puebla,Mexico
304,Mona,Almey,Female,Colombian,Universidad Cientifica Latinoamericana de Hidalgo,Mexico
305,Theodora,Renwick,Agender,Choctaw,Universitas Brawijaya,Indonesia
306,Maribelle,Steade,Female,Eskimo,Université de Nice-Sophia Antipolis,France
307,Wash,Mason,Male,Ottawa,Yanbian University,China
308,Catharine,Lamy,Bigender,Hmong,Samara State Agricultural Academy,Russia
309,Justen,Kynman,Male,Filipino,University of Trinidad and Tobago,Trinidad and Tobago
310,Christoper,Temple,Male,Korean,Dalian University,China
311,Jose,Balffye,Male,Yaqui,University of Massachusetts at Amherst,United States
312,Shannen,Drewitt,Female,Potawatomi,Copenhagen University,Denmark
313,Ruddie,Yelyashev,Male,Salvadoran,National Technical University of Athens,Greece
314,Charil,Sonschein,Female,Laotian,Water Resources University,Vietnam
315,Kare,Druce,Female,Alaska Native,University of Zadar,Croatia
316,Fan,Karlsen,Female,Cherokee,Northeast University at Qinhuangdao Campus,China
317,Xenos,Rollitt,Male,Mexican,Institut Teknologi Telkom,Indonesia
318,Fields,Paroni,Male,Cheyenne,University of the Ryukyus,Japan
319,Jocelyn,Ygo,Female,Cherokee,City University Athens,Greece
320,Elias,Slatford,Male,Creek,Leyte Normal University,Philippines
321,Emlynn,Sanbrooke,Female,Alaska Native,Instituto Politecnico do Porto,Portugal
322,Anett,Pettersen,Female,Central American,University College of Borås,Sweden
323,Callie,Chislett,Female,Colville,Universitas Nusa Cendana,Indonesia
324,Dex,Kamiyama,Male,Cuban,Shanxi Agricultural University,China
325,Adi,Brient,Female,Laotian,Siberian State Industrial University,Russia
326,Loretta,Nealand,Female,Ecuadorian,University of Mohaghegh,Iran
327,Imogene,Jubb,Female,Houma,Universidade Tecnica de Lisboa,Portugal
328,Sorcha,Baunton,Female,Osage,Technological University (Pathein),Myanmar
329,Tedmund,Loghan,Male,Delaware,Universidad ISALUD,Argentina
330,Issy,Guerro,Female,Ecuadorian,Kumoh National University of Technology,South Korea
331,Evie,Karchowski,Female,Mexican,Stie Perbanas Surabaya,Indonesia
332,Simone,Grundle,Female,Paiute,Capital University of Medical Sciences,China
333,Cornie,Sprowell,Male,Cheyenne,Charles R. Drew University of Medicine and Science,United States
334,Andreas,Marchetti,Male,Pueblo,Ecole Supérieure d'Informatique-Electronique-Automatique,France
335,Booth,Osmond,Male,Taiwanese,Northern Jiaotong University,China
336,Rudolph,Bothwell,Male,Black or African American,Dalian Medical University,China
337,Vlad,Osgar,Male,Houma,"Yorker International University, Athens",Greece
338,Eartha,Hedaux,Female,Navajo,Universitas Merdeka Malang,Indonesia
339,Tate,Baynham,Female,Guatemalan,University of the Free State,South Africa
340,Ashien,Dearlove,Female,Melanesian,Universidad de Lima,Peru
341,Radcliffe,Simoneton,Male,Bangladeshi,Nanjing University of Traditional Chinese Medicine,China
342,Diena,Jeanequin,Female,Chickasaw,Dalian University of Foreign Language,China
343,Aurelie,Screwton,Female,Mexican,Henan Agriculture University,China
344,Zak,Cheeke,Male,Blackfeet,"Bauchi State University, Gadau",Nigeria
345,Brandtr,Farlamb,Male,Guamanian,Universitas Ma Chung,Indonesia
346,Tammi,Cundey,Female,Japanese,University of Oslo,Norway
347,Arman,Whitman,Male,Indonesian,Cape Peninsula University of Technology,South Africa
348,Hamil,Kembry,Male,Tlingit-Haida,Satakunta University Of Applied Scinces,Finland
349,Sherrie,Giacoppoli,Female,Native Hawaiian,Universidad del Norte,Colombia
350,Charlotta,Else,Female,Filipino,Foundation University,Philippines
351,Susy,Tregidgo,Female,Chamorro,Universitas Trisakti,Indonesia
352,Coletta,Kirtley,Female,Dominican (Dominican Republic),Universidad Marcelino Champagnat,Peru
353,Boote,Hullin,Male,Chickasaw,"Donghua University, Shanghai",China
354,Ly,Tryme,Male,Sioux,European University,Serbia
355,Meredith,Vitall,Female,Tlingit-Haida,Central Bible College,United States
356,Lavinia,Gernier,Polygender,Tohono O'Odham,Universidade para o Desenvolvimento do Alto Vale do Itajaí,Brazil
357,Daile,Mannion,Female,Chilean,Ecole Centrale de Lyon,France
358,Les,Bankhurst,Male,Tohono O'Odham,University of Texas Health Center at Houston,Marshall Islands
359,Nils,Dain,Male,Pakistani,Assiut University,Egypt
360,Devonne,Strettell,Female,Polynesian,Universidade Independente,Portugal
361,Hayden,Hurn,Male,Mexican,Nizhny Novgorod State University,Russia
